"source","target","value"
1,4,1
1,4,3
1,8,1
1,13,1
1,14,1
1,22,10
1,22,4
1,30,13
1,30,7
1,34,1
1,35,1
1,36,1
1,42,4
1,45,1
1,51,1
1,61,1
3,4,32
3,8,5
3,9,1
3,12,14
3,14,35
3,15,31
3,21,11
3,22,2
3,25,20
3,30,2
3,30,11
3,33,3
3,33,6
3,34,13
3,42,200
3,47,4
3,50,30
3,54,6
3,55,3
3,56,157
3,61,4
4,1,1
4,1,3
4,3,32
4,5,1
4,6,1
4,8,31
4,8,9
4,9,20
4,9,7
4,10,149
4,10,96
4,12,179
4,12,51
4,13,11
4,14,75
4,14,19
4,15,298
4,15,107
4,16,1
4,16,1
4,17,2
4,18,10
4,18,28
4,20,23
4,21,20
4,21,61
4,22,19
4,22,8
4,23,6
4,25,5
4,25,64
4,26,27
4,26,36
4,27,28
4,29,6
4,29,2
4,30,109
4,30,78
4,32,2
4,33,10
4,33,3
4,34,20
4,34,25
4,35,22
4,35,8
4,36,10
4,37,23
4,38,6
4,38,3
4,39,1
4,40,2
4,40,1
4,41,2
4,42,1509
4,42,1052
4,43,3
4,43,4
4,45,8
4,46,4
4,47,12
4,47,13
4,48,1
4,49,3
4,50,68
4,50,68
4,51,5
4,51,2
4,52,7
4,52,2
4,53,7
4,53,1
4,54,45
4,54,39
4,55,378
4,55,192
4,56,79
4,56,32
4,59,1
4,60,2
4,60,19
4,61,77
4,61,8
4,62,8
5,4,1
5,14,2
5,20,2
5,22,2
5,24,2
5,33,4
5,34,2
5,34,1
5,37,2
5,40,2
5,53,2
5,54,3
6,4,1
8,1,1
8,3,5
8,4,31
8,4,9
8,10,4
8,10,1
8,12,4
8,13,3
8,14,8
8,15,16
8,16,3
8,17,2
8,18,1
8,20,2
8,20,6
8,21,10
8,22,1
8,22,4
8,25,5
8,25,4
8,26,3
8,30,8
8,30,2
8,33,36
8,33,29
8,34,2
8,34,12
8,35,4
8,36,1
8,37,3
8,38,5
8,42,19
8,42,4
8,47,1
8,50,2
8,50,14
8,52,1
8,53,1
8,53,5
8,54,17
8,54,24
8,55,2
8,55,2
8,56,1
8,60,1
8,61,2
8,61,3
8,62,6
9,3,1
9,4,20
9,4,7
9,10,50
9,10,3
9,12,19
9,14,4
9,15,9
9,15,4
9,16,1
9,18,3
9,18,9
9,21,1
9,21,5
9,25,1
9,26,5
9,27,5
9,30,6
9,34,1
9,35,2
9,41,2
9,47,20
9,47,3
9,50,3
9,50,5
9,55,2
9,56,1
9,60,7
9,60,9
9,61,20
9,61,1
10,4,149
10,4,96
10,8,4
10,8,1
10,9,50
10,9,3
10,12,128
10,12,94
10,14,30
10,14,18
10,15,90
10,15,19
10,16,4
10,18,28
10,19,1
10,21,3
10,21,2
10,22,11
10,22,4
10,23,2
10,25,8
10,25,8
10,26,15
10,27,14
10,30,87
10,30,31
10,34,4
10,34,4
10,35,5
10,35,1
10,36,2
10,41,2
10,42,175
10,42,12
10,43,4
10,47,4
10,47,1
10,50,542
10,50,74
10,51,3
10,52,4
10,52,1
10,53,3
10,54,31
10,54,21
10,55,35
10,56,708
10,56,16
10,60,1
10,60,10
10,61,29
10,61,4
12,3,14
12,4,179
12,4,51
12,8,4
12,9,19
12,10,128
12,10,94
12,14,428
12,14,12
12,15,85
12,15,1
12,16,29
12,18,189
12,20,1
12,21,7
12,27,1
12,30,16
12,33,1
12,34,1
12,34,2
12,35,4
12,36,1
12,37,1
12,38,19
12,42,157
12,42,36
12,46,1
12,47,11
12,49,2
12,50,62
12,50,95
12,53,1
12,54,9
12,55,71
12,55,12
12,56,74
12,56,7
12,61,15
13,1,1
13,4,11
13,8,3
13,14,4
13,14,1
13,15,2
13,21,2
13,29,2
13,30,17
13,30,1
13,33,3
13,34,6
13,35,2
13,36,2
13,37,4
13,38,3
13,42,13
13,45,1
14,1,1
14,3,35
14,4,75
14,4,19
14,5,2
14,8,8
14,9,4
14,10,30
14,10,18
14,12,428
14,12,12
14,13,4
14,13,1
14,15,30
14,15,9
14,17,15
14,18,358
14,18,1
14,19,2
14,19,1
14,20,2
14,20,13
14,21,14
14,21,1
14,22,3
14,22,8
14,24,1
14,26,1
14,26,1
14,27,11
14,29,1
14,30,31
14,30,16
14,33,8
14,34,2
14,34,23
14,35,8
14,36,4
14,36,1
14,37,13
14,37,2
14,40,1
14,41,2
14,41,6
14,42,106
14,42,17
14,45,2
14,46,2
14,47,5
14,47,1
14,49,1
14,50,15
14,51,1
14,51,3
14,52,1
14,52,3
14,53,2
14,53,1
14,54,4
14,54,1
14,55,3
14,56,13
14,56,2
14,59,1
14,60,14
14,61,38
14,61,5
15,3,31
15,4,298
15,4,107
15,8,16
15,9,9
15,9,4
15,10,90
15,10,19
15,12,85
15,12,1
15,13,2
15,14,30
15,14,9
15,16,9
15,17,6
15,18,20
15,18,32
15,19,1
15,19,1
15,20,4
15,20,21
15,21,72
15,21,29
15,22,17
15,22,12
15,23,1
15,24,1
15,25,19
15,25,26
15,26,47
15,26,12
15,27,25
15,27,4
15,29,1
15,30,54
15,30,17
15,32,2
15,33,2
15,34,10
15,34,62
15,35,6
15,35,1
15,36,8
15,36,2
15,37,3
15,37,3
15,38,1
15,40,1
15,41,28
15,42,395
15,42,174
15,43,7
15,43,8
15,45,1
15,46,2
15,46,2
15,47,8
15,47,9
15,50,15
15,50,6
15,51,9
15,51,6
15,52,5
15,52,6
15,53,3
15,54,86
15,54,29
15,55,168
15,55,42
15,56,67
15,56,28
15,59,1
15,60,3
15,60,3
15,61,43
15,61,6
15,62,1
16,4,1
16,4,1
16,8,3
16,9,1
16,10,4
16,12,29
16,15,9
16,17,2
16,21,19
16,21,3
16,25,2
16,25,2
16,26,6
16,30,7
16,34,6
16,35,1
16,36,1
16,38,1
16,41,1
16,42,7
16,43,1
16,47,2
16,52,1
16,52,1
16,54,6
16,54,2
16,55,1
16,56,2
16,56,1
17,4,2
17,8,2
17,14,15
17,15,6
17,16,2
17,20,1
17,21,3
17,21,6
17,24,1
17,25,1
17,26,10
17,29,1
17,46,1
17,53,2
17,54,5
17,58,1
17,61,1
18,4,10
18,4,28
18,8,1
18,9,3
18,9,9
18,10,28
18,12,189
18,14,358
18,14,1
18,15,20
18,15,32
18,21,4
18,26,1
18,30,37
18,30,146
18,34,2
18,35,1
18,42,12
18,42,8
18,47,14
18,47,5
18,48,2
18,48,1
18,50,11
18,55,3
18,55,1
18,56,7
18,59,1
18,60,4
18,61,4
18,61,31
19,10,1
19,14,2
19,14,1
19,15,1
19,15,1
19,24,1
19,40,1
19,42,6
19,43,1
19,51,1
19,54,1
20,4,23
20,5,2
20,8,2
20,8,6
20,12,1
20,14,2
20,14,13
20,15,4
20,15,21
20,17,1
20,21,2
20,21,3
20,22,3
20,22,3
20,24,1
20,25,1
20,33,2
20,34,5
20,34,39
20,36,7
20,37,1
20,40,1
20,42,4
20,42,30
20,46,5
20,47,1
20,51,6
20,51,23
20,52,1
20,52,12
20,53,7
20,53,5
20,54,1
20,54,15
21,3,11
21,4,20
21,4,61
21,8,10
21,9,1
21,9,5
21,10,3
21,10,2
21,12,7
21,13,2
21,14,14
21,14,1
21,15,72
21,15,29
21,16,19
21,16,3
21,17,3
21,17,6
21,18,4
21,20,2
21,20,3
21,22,2
21,22,1
21,23,1
21,25,26
21,25,13
21,26,14
21,27,12
21,29,1
21,30,31
21,30,11
21,33,1
21,34,9
21,35,1
21,38,2
21,39,2
21,39,2
21,41,6
21,42,40
21,42,61
21,46,1
21,46,2
21,47,1
21,47,10
21,49,1
21,49,3
21,50,8
21,50,1
21,53,2
21,54,16
21,54,5
21,55,22
21,55,32
21,56,49
21,56,11
21,58,2
21,60,1
21,61,7
21,61,4
21,62,3
22,1,10
22,1,4
22,3,2
22,4,19
22,4,8
22,5,2
22,8,1
22,8,4
22,10,11
22,10,4
22,14,3
22,14,8
22,15,17
22,15,12
22,20,3
22,20,3
22,21,2
22,21,1
22,24,3
22,25,4
22,25,2
22,26,5
22,30,25
22,30,25
22,33,4
22,33,1
22,34,9
22,34,25
22,35,3
22,35,15
22,36,2
22,37,1
22,37,1
22,40,2
22,42,34
22,42,20
22,43,15
22,45,4
22,45,6
22,49,1
22,50,12
22,51,3
22,52,4
22,52,1
22,53,6
22,53,2
22,54,16
22,54,6
22,55,4
22,61,1
23,4,6
23,10,2
23,15,1
23,21,1
23,29,1
23,29,7
23,30,7
23,39,2
23,54,10
23,54,5
23,60,1
23,62,1
23,62,2
24,5,2
24,14,1
24,15,1
24,17,1
24,19,1
24,20,1
24,22,3
24,30,1
24,33,2
24,34,1
24,37,1
24,40,1
24,40,1
24,43,1
24,53,7
25,3,20
25,4,5
25,4,64
25,8,5
25,8,4
25,9,1
25,10,8
25,10,8
25,15,19
25,15,26
25,16,2
25,16,2
25,17,1
25,20,1
25,21,26
25,21,13
25,22,4
25,22,2
25,26,13
25,26,22
25,29,1
25,30,11
25,30,1
25,32,4
25,34,1
25,34,13
25,39,2
25,41,3
25,41,2
25,42,22
25,42,51
25,43,1
25,47,4
25,50,2
25,51,2
25,52,1
25,54,52
25,54,23
25,55,1
25,55,36
25,56,20
25,56,1
25,62,1
26,4,27
26,4,36
26,8,3
26,9,5
26,10,15
26,14,1
26,14,1
26,15,47
26,15,12
26,16,6
26,17,10
26,18,1
26,21,14
26,22,5
26,25,13
26,25,22
26,30,3
26,32,1
26,32,3
26,34,4
26,42,37
26,42,8
26,45,1
26,50,2
26,51,2
26,54,6
26,55,6
26,55,26
26,56,16
26,56,1
26,60,1
26,61,1
27,4,28
27,9,5
27,10,14
27,12,1
27,14,11
27,15,25
27,15,4
27,21,12
27,30,4
27,34,4
27,35,1
27,41,8
27,42,18
27,42,1
27,50,5
27,55,11
27,56,12
27,60,2
27,61,8
27,62,1
28,30,1
28,48,1
28,59,2
28,61,1
29,4,6
29,4,2
29,13,2
29,14,1
29,15,1
29,17,1
29,21,1
29,23,1
29,23,7
29,25,1
29,33,1
29,34,3
29,37,18
29,37,3
29,39,3
29,39,2
29,42,4
